# P A D   S U B M I S S I O N   S I T E S
# 64-bit: 64-bit software only.
# Active: Actively responding.
# Add: Candidate site to be definitely included in the hassle-free sites supported by the mini PAD submitter.
# Almost: Almost hassle-free.
# AltUpload: You may alternately upload the PAD file off your local hard disk.
# AppVisor: Submit via AppVisor.
# Arabic: Arabic
# ArticleLinks: Article links only.
# Attack: Firefox accuses this site of covertly installing malware.
# Audio: Audio software only.
# BackLinkHome: They have the cheek to demand you put a back-link ad for them on your home page (or possibly a page linked directly from your home page). Screw em! You must have the back link set up and uploaded before you submit your PAD.
# BackLinkMandatory: Must provide a backlink from your website to theirs and inform them where it is. You must have the back link set up and uploaded to your website before you submit your PAD.
# BackLinkOptional: They request you provide an optional backlink from your website to theirs and inform them where it is. You must have the back link set up and uploaded before you submit your PAD.
# BackLinkTip: To ensure prompt processing, they request you provide a backlink from your website to theirs and inform them where it is. You must have the back link set up and uploaded before you submit your PAD.
# Blacklist: They blacklisted me without explanation and without possibility of appeal. It could be because I wrote the mini PAD Submitter, I am gay, atheist, anti-war…, because I hold many unpopular opinions, because I submitted such a large catalog of software, because I frequently release new builds, because they saw my name on a blacklist somewhere or they just made an error.
# Blind: The onerous way they make you type the security code, you might as well be blind.
# Broken: Site has bugs that prevent PAD submission.
# Bulgarian: Bulgarian
# Candidate: Candidate site to be possibly included in the hassle-free sites supported by the mini PAD submitter.
# Captcha: Must prove your worthiness by keying an almost-impossible-to-decipher Captcha. They have contempt for programmers. They think that programmers have nothing better to do with their time than as tediously as possible manually submit programs. They forget that the programmers are doing them a favour.
# Chinese: Chinese
# Confirm: You must confirm your PAD submission by visiting a link sent via email.
# Crapware: When you download programs from this site, they use a custom downloader/installer that installs a number of unwanted, unrelated extra crapware programs.
# Czech: Czech
# Danish: Danish
# Dead: Site dead — suspended, closed, disappeared or repurposed.
# Delete: Site to be deleted from the list of hassle-free sites supported by the mini PAD submitter.
# Down: Site temporarily down.
# Duplicate: Duplicate.
# Dutch: Dutch
# Educational: Educational software only.
# English: English
# Esperanto: Esperanto
# Expired: Expired SSL Certificate
# Financial: Financial software only.
# Form: Does not use PADs. You must fill in a form.
# Former: Formerly hassle-free.
# Freeware: Freeware only.
# French: French
# Games: Games only.
# German: German
# Greek: Greek
# Handheld: Software for handhelds only.
# Head: They probe your website for the PAD, screenshot, zip etc. using an abbreviated HTTP HEAD rather than a full HTTP GET. This may lead them to complain about missing files that are indeed present or fail to detect PAD changes.
# HiddenValidation: Hidden validation code to deter automated submission.
# Hungarian: Hungarian
# Indian: Indian
# Indonesian: Indonesian
# Italian: Italian
# Japanese: Japanese
# JavaScript: The site is obfuscated with JavaScript.
# Login: You must set up an account and login with a password.
# Mac: Macintosh only.
# MalformedURL: Malformed URL.
# Malware: Chrome or Firefox accuses this site of listing malware.
# Mobile: Mobile software only.
# Multimedia: Multimedia software only.
# Multiple: You may submit multiple PADs at once.
# NoAuto: They explicitly ask you not to use any automation in PAD submission.
# NoLogo: They have not customised their site with a logo.
# NoOpera: No Opera.
# NoProbe: You must resubmit after every version change because they fail to periodically probe your PAD for changes.
# NoSubmissionPage: Cannot find PAD submission page.
# NotAccepting: Not currently accepting PAD submissions.
# Notify: They notify you by email when they notice your PAD or the files it references change or become inaccessible.
# NotResponding: Not Responding and domain abandoned.
# Obfuscated: Obfuscated to deter automated submission.
# OldSpec: They support only an obsolete (pre 3.0) versionof the PAD spec.
# Onion: Not recommended.
# PADmaps: They support the PADmaps protocol so that submitting one PAD submits your whole catalog.
# PADRING: They support the PADRING protocol so that submitting one PAD submits your whole catalog.
# Palm: Palm only.
# Parked: Site parked and domain abandoned.
# Pay: You must pay to list.
# Polish: Polish
# Portuguese: Portuguese
# Prefill: You press a PREFILL button to display the contents of the PAD and then you edit the fields before final submission.
# Propagate: They pass the PADs you submit to other PADSites.
# Proprietary: You must select a proprietary category for the PAD.
# Recommended: Recommended.
# RegNow: Only software sold via RegNow/Bluesnap (née Plimus)/eSellerate etc.
# Rekey: You must manually rekey some of the fields in the PAD.
# Resurrected: Site was off the air for a while, but it is back.
# Romanian: Romanian
# Russian: Russian
# Scavenger: You may not even have to submit your PAD to them. They go out scouring the web for PADs.
# Screensaver: Screensavers only.
# Shareware: Shareware only. No freeware.
# SiteLinks: Site links only.
# Skill: You must answer a skill-testing question.
# Slow: Site is unusually slow to respond. Please be patient.
# Spanish: Spanish
# Stalls: Stalls ignoring timeout when Java probes the site.
# Strict: They have their own stricter-than-ASP standards for validating PADs.
# Swedish: Swedish
# Thai: Thai
# TOP10: Ranked in the top 10.
# TOP100: Ranked in the top 100.
# TOP20: Ranked in the top 20.
# TOP30: Ranked in the top 30.
# Turkish: Turkish
# Ukranian: Ukranian
# Unix: Unix only.
# Upload: You don’t submit an URL, you upload the PAD file off your local hard disk.
# Validation: You must key a legible validation code to prove you are not using automated software submission.
# ViaEmail: Submit your PAD via email.
# ViewState: Complicated state information, difficult to automate.
# Warn: They warn you of subtle problems with the PAD.
# Windows: Windows only.
## name,                             homeUrl,                                             submitUrl,                                                                                                                       logo, keywords,                                                                                        notes
000-Downloads,                       http://www.000downloads.com,                         "http://www.000downloads.com/index.php?a=pad&submit_pad",                                                                        , Dead Login
01-Download,                         http://www.01-download.com,                          "http://www.01-download.com/index.php?a=pad",                                                                                    , Dead Login
01-Download-Net,                     http://www.01download.net,                           "http://www.01download.net/user-panel/",                                                                                         , Dead Login
1-Converter,                         http://n.1converter.com,                             "http://n.1converter.com/submit.html",                                                                                           , Dead Validation Login Proprietary
1-Down,                              http://1down.us,                                     "http://1down.us/index.php?a=pad",                                                                                               , Dead Login
1-Software-Way,                      http://1softwareway.com,                             "http://1softwareway.com/login.aspx",                                                                                            , Dead Login
1000-Files,                          http://1000files.com,                                "http://1000files.com/addsoftware.html",                                                                                         , Dead Proprietary
10k-Downloads,                       http://www.10kdownloads.com,                         "http://www.10kdownloads.com/index.php?a=pad",                                                                                   , Parked Login
123-Down-Load,                       http://123-download.com/,                            "http://123-download.com/submit.php",                                                                                            , Dead Validation BackLinkOptional PADmaps
123-PC-Softwares,                    http://123pcsoftwares.com,                           "http://123pcsoftwares.com/index.php?a=pad&submit_pad",                                                                          , Parked Proprietary Rekey
123-Softs,                           http://123softs.com,                                 "http://123softs.com/suggest.php?action=addpads",                                                                                , Dead Validation Login
1st-Download,                        http://1st-download.com,                             "http://1st-download.com/devcenter.html",                                                                                        , Dead Login Proprietary
2-Archive,                           http://2archive.com,                                 "http://2archive.com/?ipage=update_file",                                                                                        , Dead Login
2download-Co,                        http://2download.co,                                 "http://publisher.appvisor.com/",                                                                                                , AppVisor Dead
2p2c,                                http://www.2p2c.com,                                 "http://www.2p2c.com/index.php?a=pad",                                                                                           , Dead Login
3-Hostings,                          http://www.b3hostings.com,                           "http://www.b3hostings.com/projects/shareware_directory/submit.php",                                                             , Dead NoLogo
33-Download,                         http://www.33download.com/index.php?a=pad,           "http://www.33download.com/install/",                                                                                            , Dead Login
3asd,                                http://www.3asd.com,                                 "http://www.3asd.com/submit.php",                                                                                                , Broken Resurrected BackLinkOptional,                                                                 "can�t find URL given to it"
4-Every1,                            http://www.4-every-1.ws,                             "http://www.4-every-1.ws/addurl.htm",                                                                                            , Dead Validation
4-Link,                              http://4link.in,                                     "http://4link.in/index.php?a=pad&submit_pad",                                                                                    , NoSubmissionPage Indian
4-PCSoft,                            http://www.4pcsoft.com,                              "http://www.4pcsoft.com/index.php?a=pad",                                                                                        , Dead Login
4-Software2-Download,                http://www.4software2download.com,                   "http://www.2haveit.com/listings/index.php",                                                                                     , Dead Login
5-Awards,                            http://5awards.com,                                  "http://5awards.com/submit.php",                                                                                                 , Dead Proprietary
5-Moons,                             http://www.5moons.net,                               "http://www.5moons.net/submit.php",                                                                                              , Dead
5-Star-Files,                        http://www.5starfiles.com,                           "http://www.5starfiles.com/submit/",                                                                                             , Dead Login Proprietary
5-Star-Share,                        http://5starshare.com,                               "http://5starshare.com/submit2.php",                                                                                             , Dead,                                                                                                "Validation Proprietary"
5-Star-Shareware,                    http://www.5star-shareware.com,                      "http://www.5star-shareware.com/docs/submit.html",                                                                               , NoSubmissionPage Parked Dead Login Form RegNow
5-Star-Soft,                         http://5starsoft.com,                                "http://5starsoft.com/developer/",                                                                                               , NoSubmissionPage
5-Zed,                               http://www.5zed.com,                                 "http://www.5zed.com/",                                                                                                          , Dead Login
50ft-Wares,                          http://50ftwares.com,                                "http://50ftwares.com/submit-software",                                                                                          , Parked Dead
5oft-Wares,                          http://5oftwares.com,                                "http://5oftwares.com/submit-software",                                                                                          , Resurrected Dead,                                                                                    "gives 500 internal server error, but seems ok."
66c,                                 http://www.66c.com,                                  "http://www.66c.com",                                                                                                            , NoSubmissionPage Validation SiteLinks Arabic
798Street,                           http://www.798street.asia,                           "http://www.798street.asia/submit.php",                                                                                          , Dead Validation
7Th-Downloads,                       http://7thdownloads.com,                             "http://7thdownloads.com/index.php?a=pad",                                                                                       , Dead Proprietary Rekey
9-Util,                              http://www.9util.com/one/,                           "http://www.9util.com/one/index.php?a=pad&submit_pad",                                                                           , Parked Proprietary Rekey
911-Tool,                            http://911tool.com,                                  "http://911tool.com/submit.php",                                                                                                 , Dead Validation BackLinkOptional Confirm NoLogo PADmaps,                                             "Malware"
999-Free-Soft,                       http://999freesoft.com,                              "http://999freesoft.com/",                                                                                                       , NoSubmissionPage
About-Video-Converter,               http://www.aboutvideoconverter.com,                  "http://www.aboutvideoconverter.com/submit-pad",                                                                                 , NotResponding Dead JavaScript
Absolute-Shareware,                  http://www.absoluteshareware.com/,                   "http://www.absoluteshareware.com/submit.php",                                                                                   , Dead Shareware
Absolutely-Freebies,                 http://www.absolutelyfreebies.com,                   "http://www.absolutelyfreebies.com/cgi-bin/topsites/accounts.cgi",                                                               , NoSubmissionPage SiteLinks
Accessden,                           http://www.accessden.com,                            "http://www.accessden.com/index.php?a=pad&submit_pad",                                                                           , NotResponding Dead Proprietary Rekey
Acid-Files-Com,                      http://www.acidfiles.com,                            "http://www.acidfiles.com/submit.html",                                                                                          , NotResponding Dead Former
